modelFreeScore,seqId,seq,semantic
1.6624492095783636E-7,2127,1174888 -1 956874 -1 1125315 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.6624492095783636E-7,2121,1174888 -1 956874 -1 1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.6624492095783636E-7,2117,1174888 -1 956874 -1 1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.657334296519536E-7,4251,1125315 -1 1174888 -1 1551099 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Prednisone' -1 'Acetaminophen' -1 -2 
1.657259988481419E-7,721,1307046 -1 1786621 -1  -2 ,'Metoprolol' -1 'Cephalexin' -1 -2 
1.6528379135312591E-7,4450,1125315 -1 1174888 -1 956874 -1 1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.6528379135312591E-7,2581,1174888 -1 1125315 -1 956874 -1 1125315 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Furosemide' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.64942069497589E-7,4125,1125315 -1 1742253 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Albuterol' -1 -2 
1.648882622939706E-7,5305,956874 -1 956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 'Furosemide' -1 -2 
1.6485146906535143E-7,5113,1125315 -1 1742253 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Ciprofloxacin' -1 -2 
1.6462695164006234E-7,299,19049105 -1 986417 -1  -2 ,'Potassium Chloride' -1 'POLYETHYLENE GLYCOL 3350' -1 -2 
1.6402466708140166E-7,4457,1125315 1174888 -1 1332418 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amlodipine' -1 -2 
1.6402466708140166E-7,1843,1174888 -1 1332418 -1  -2 ,'Hydrocodone' -1 'Amlodipine' -1 -2 
1.6358222374339868E-7,3538,1125315 -1 1738521 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Doxycycline' -1 'Acetaminophen' -1 -2 
1.6348309106890197E-7,1062,1734104 -1 1174888 -1 956874 -1  -2 ,'Azithromycin' -1 'Hydrocodone' -1 'Furosemide' -1 -2 
1.631567411013952E-7,1194,1716903 -1 1174888 -1  -2 ,'moxifloxacin' -1 'Hydrocodone' -1 -2 
1.62814622705301E-7,288,19049105 -1 1137529 -1  -2 ,'Potassium Chloride' -1 'salmeterol' -1 -2 
1.625706106506533E-7,1138,1734104 -1 1551099 -1 1174888 -1  -2 ,'Azithromycin' -1 'Prednisone' -1 'Hydrocodone' -1 -2 
1.6251758445413857E-7,162,1308216 -1 19121608 -1  -2 ,'Lisinopril' -1 'Influenza virus vaccine' -1 -2 
1.621316969711854E-7,3483,1125315 -1 1124957 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Oxycodone' 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.6212763861294257E-7,2487,1174888 -1 1125315 -1 1125315 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.6212763861294257E-7,2305,1174888 -1 1125315 -1 1174888 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.6148701277407169E-7,4143,1125315 1174888 -1 1163944 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Guaifenesin' -1 -2 
1.6130148653596564E-7,3185,1153664 -1 1174888 -1 1174888 -1  -2 ,'Propoxyphene' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.6127626137512722E-7,1870,1307046 -1 1310149 -1  -2 ,'Metoprolol' -1 'Warfarin' -1 -2 
1.6119603995917462E-7,4545,1125315 1174888 -1 1713332 -1 1713332 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' -1 'Amoxicillin' -1 -2 
1.6113503421392753E-7,2153,1174888 -1 1124957 1125315 -1  -2 ,'Hydrocodone' -1 'Oxycodone' 'Acetaminophen' -1 -2 
1.6101485736617306E-7,5124,1125315 -1 1742253 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.6060994361724038E-7,5010,1125315 -1 1705674 1836430 -1  -2 ,'Acetaminophen' -1 'Trimethoprim' 'Sulfamethoxazole' -1 -2 
1.6060994361724038E-7,1527,1125315 -1 1705674 -1  -2 ,'Acetaminophen' -1 'Trimethoprim' -1 -2 
1.6060994361724038E-7,613,1125315 -1 1836430 -1  -2 ,'Acetaminophen' -1 'Sulfamethoxazole' -1 -2 
1.6057907992600164E-7,3102,1154343 -1 1125315 -1 1125315 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.6048233217310543E-7,3381,1125315 -1 1734104 -1 956874 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 'Furosemide' -1 -2 
1.6045301532189022E-7,3372,1125315 -1 956874 -1 1307046 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Metoprolol' -1 -2 
1.6034945001594674E-7,2236,1174888 -1 1125315 -1 1174888 -1 1797513 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Hydrocodone' -1 'Ciprofloxacin' -1 -2 
1.6028985851359615E-7,3364,1125315 -1 956874 -1 1149380 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'fluticasone' -1 -2 
1.5986649991270685E-7,4090,1125315 -1 1153664 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Propoxyphene' -1 'Hydrocodone' -1 -2 
1.5986649991270685E-7,2593,1174888 -1 1153664 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Propoxyphene' -1 'Hydrocodone' -1 -2 
1.5984620710942445E-7,3152,1154332 -1 1125315 1174888 -1  -2 ,'Pseudoephedrine' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5957018508538865E-7,4933,1125315 1174888 -1 1125315 -1 19049105 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5957018508538865E-7,4822,1125315 1174888 -1 1125315 -1 19049105 -1 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Potassium Chloride' -1 'Hydrocodone' -1 -2 
1.5957018508538865E-7,4754,1125315 1174888 -1 1125315 -1 19049105 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Potassium Chloride' -1 'Acetaminophen' -1 -2 
1.5957018508538865E-7,3572,1125315 -1 1125315 -1 19049105 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5957018508538865E-7,3565,1125315 -1 1125315 -1 19049105 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Potassium Chloride' -1 'Hydrocodone' -1 -2 
1.5956775209660018E-7,3202,1153013 -1 1174888 -1 1125315 -1  -2 ,'Promethazine' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.5937338879999653E-7,2472,1174888 -1 1125315 1174888 -1 19049105 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5937338879999653E-7,2440,1174888 -1 1125315 1174888 -1 19049105 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 'Hydrocodone' -1 -2 
1.5937338879999653E-7,2377,1174888 -1 1125315 1174888 -1 19049105 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 'Acetaminophen' -1 -2 
1.5937338879999653E-7,2227,1174888 -1 1125315 1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 -2 
1.5929118176610884E-7,407,19049105 -1 1125315 1174888 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 -2 
1.585639720849674E-7,5112,1125315 -1 1797513 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 'Levofloxacin' -1 -2 
1.584271884370866E-7,3234,1149380 -1 1125315 -1 19049105 -1  -2 ,'fluticasone' -1 'Acetaminophen' -1 'Potassium Chloride' -1 -2 
1.5818072637666816E-7,4227,1125315 -1 1174888 -1 1742253 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Levofloxacin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5818072637666816E-7,4224,1125315 -1 1174888 -1 1742253 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Levofloxacin' -1 'Hydrocodone' -1 -2 
1.5818072637666816E-7,2681,1174888 -1 1174888 -1 1742253 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Levofloxacin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5818072637666816E-7,2680,1174888 -1 1174888 -1 1742253 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Levofloxacin' -1 'Acetaminophen' -1 -2 
1.5805807347428593E-7,1207,1518254 -1 1713332 -1  -2 ,'Dexamethasone' -1 'Amoxicillin' -1 -2 
1.5781103841859187E-7,3520,1125315 -1 1503297 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Metformin' -1 'Acetaminophen' -1 -2 
1.573963983933672E-7,400,19049105 -1 19121608 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Influenza virus vaccine' -1 'Acetaminophen' -1 -2 
1.5663616458619838E-7,5615,956874 -1 1713332 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 'Amoxicillin' -1 -2 
1.5641115475890175E-7,231,19049105 -1 1786621 -1  -2 ,'Potassium Chloride' -1 'Cephalexin' -1 -2 
1.5621969622185038E-7,5343,956874 -1 956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Furosemide' -1 'Potassium Chloride' -1 -2 
1.5607562641515202E-7,5299,956874 -1 781039 -1  -2 ,'Furosemide' -1 'Alprazolam' -1 -2 
1.5602538892413582E-7,5616,956874 -1 1734104 -1 1713332 -1  -2 ,'Furosemide' -1 'Azithromycin' -1 'Amoxicillin' -1 -2 
1.557857384790904E-7,1503,1713332 1759842 -1 1125315 -1 1713332 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 'Acetaminophen' -1 'Amoxicillin' -1 -2 
1.557857384790904E-7,832,1759842 -1 1125315 -1 1713332 -1  -2 ,'Clavulanate' -1 'Acetaminophen' -1 'Amoxicillin' -1 -2 
1.5577036081541676E-7,1051,1734104 -1 974166 -1  -2 ,'Azithromycin' -1 'Hydrochlorothiazide' -1 -2 
1.555353594267531E-7,3333,1125315 -1 778711 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'cyclobenzaprine' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.555353594267531E-7,3331,1125315 -1 778711 -1 1174888 -1  -2 ,'Acetaminophen' -1 'cyclobenzaprine' -1 'Hydrocodone' -1 -2 
1.5553446136203191E-7,5118,1125315 -1 1742253 -1 1742253 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Levofloxacin' -1 'Acetaminophen' -1 -2 
1.5548913307580744E-7,1968,1201620 -1 1125315 -1 1125315 -1  -2 ,'Codeine' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.5525854878058827E-7,5708,781039 -1 781039 -1  -2 ,'Alprazolam' -1 'Alprazolam' -1 -2 
1.5511951977645308E-7,5345,956874 -1 19121608 -1 956874 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 'Furosemide' -1 -2 
1.5462841501280205E-7,1847,956874 -1 1332418 -1  -2 ,'Furosemide' -1 'Amlodipine' -1 -2 
1.5458315458709434E-7,907,1742253 -1 956874 -1 1174888 -1  -2 ,'Levofloxacin' -1 'Furosemide' -1 'Hydrocodone' -1 -2 
1.5449331095044282E-7,5146,1125315 -1 1797513 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 'Ciprofloxacin' -1 -2 
1.54468606028897E-7,1059,1734104 -1 956874 -1 956874 -1  -2 ,'Azithromycin' -1 'Furosemide' -1 'Furosemide' -1 -2 
1.540933012089757E-7,1220,1322184 -1 1713332 -1  -2 ,'clopidogrel' -1 'Amoxicillin' -1 -2 
1.5407763417055983E-7,4121,1125315 -1 1713332 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' -1 'Albuterol' -1 -2 
1.5407763417055983E-7,2599,1174888 -1 1713332 -1 1154343 -1  -2 ,'Hydrocodone' -1 'Amoxicillin' -1 'Albuterol' -1 -2 
1.5390753780143986E-7,1970,1201620 -1 1174888 -1 1125315 -1  -2 ,'Codeine' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.5370947536679295E-7,3107,1154343 -1 1137529 1149380 -1  -2 ,'Albuterol' -1 'salmeterol' 'fluticasone' -1 -2 
1.536902754882319E-7,3128,1154343 -1 1174888 -1 1174888 -1  -2 ,'Albuterol' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.5294154158686595E-7,270,19049105 -1 1308216 -1  -2 ,'Potassium Chloride' -1 'Lisinopril' -1 -2 
1.5275047826896623E-7,388,19049105 -1 1125315 -1 1713332 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 'Amoxicillin' -1 -2 
1.5250859785880112E-7,5614,956874 -1 1705674 1836430 -1  -2 ,'Furosemide' -1 'Trimethoprim' 'Sulfamethoxazole' -1 -2 
1.5250859785880112E-7,1529,956874 -1 1705674 -1  -2 ,'Furosemide' -1 'Trimethoprim' -1 -2 
1.5250859785880112E-7,615,956874 -1 1836430 -1  -2 ,'Furosemide' -1 'Sulfamethoxazole' -1 -2 
1.5249762534611056E-7,3388,1125315 -1 1797513 -1 956874 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 'Furosemide' -1 -2 
1.524697683433911E-7,2005,1174888 -1 1154332 -1  -2 ,'Hydrocodone' -1 'Pseudoephedrine' -1 -2 
1.5220106464585777E-7,4524,1125315 1174888 -1 1125315 -1 1742253 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Levofloxacin' -1 -2 
1.5198646575969248E-7,2966,1174888 -1 1742253 -1 1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Levofloxacin' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.5198646575969248E-7,2965,1174888 -1 1742253 -1 1125315 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Levofloxacin' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.5192062166130554E-7,1145,1734104 -1 1174888 -1 1742253 -1  -2 ,'Azithromycin' -1 'Hydrocodone' -1 'Levofloxacin' -1 -2 
1.5129684443824397E-7,1716,1506270 -1 1125315 -1  -2 ,'Methylprednisolone' -1 'Acetaminophen' -1 -2 
1.5085173616474802E-7,2123,1174888 -1 956874 -1 956874 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
1.5058118772237197E-7,1050,974166 -1 1734104 -1  -2 ,'Hydrochlorothiazide' -1 'Azithromycin' -1 -2 
1.501282882323062E-7,903,1742253 -1 956874 -1 956874 -1  -2 ,'Levofloxacin' -1 'Furosemide' -1 'Furosemide' -1 -2 
1.4980525763267794E-7,2746,1174888 -1 1174888 -1 1174888 -1 1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Hydrocodone' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.4955110978622367E-7,1263,903963 -1 1713332 -1  -2 ,'Triamcinolone' -1 'Amoxicillin' -1 -2 
1.4944980454678095E-7,443,19049105 -1 1125315 1174888 -1 1125315 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.4944980454678095E-7,424,19049105 -1 1125315 1174888 -1 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.4930317903720937E-7,4447,1125315 -1 1174888 -1 956874 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4930317903720937E-7,2849,1174888 -1 1174888 -1 956874 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4930317903720937E-7,2578,1174888 -1 1125315 -1 956874 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4892852608340971E-7,494,19049105 -1 1174888 -1 1742253 -1  -2 ,'Potassium Chloride' -1 'Hydrocodone' -1 'Levofloxacin' -1 -2 
1.489281729535726E-7,137,19121608 -1 1797513 -1  -2 ,'Influenza virus vaccine' -1 'Ciprofloxacin' -1 -2 
1.4889445702913494E-7,3062,1154343 -1 956874 -1 1154343 -1  -2 ,'Albuterol' -1 'Furosemide' -1 'Albuterol' -1 -2 
1.4861140752912113E-7,5559,956874 -1 1174888 -1 1742253 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 'Levofloxacin' -1 -2 
1.4842389634973736E-7,5479,956874 -1 1125315 1174888 -1 1154343 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 'Albuterol' -1 -2 
1.483964589083989E-7,5100,1125315 -1 1734104 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.483964589083989E-7,2954,1174888 -1 1734104 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Azithromycin' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4791414090335682E-7,895,1112921 -1 1742253 -1  -2 ,'Ipratropium' -1 'Levofloxacin' -1 -2 
1.4786654459621288E-7,1478,1713332 -1 1713332 -1 1125315 1174888 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.4786654459621288E-7,1469,1713332 -1 1713332 1759842 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' 'Clavulanate' -1 'Acetaminophen' -1 -2 
1.4786654459621288E-7,1468,1713332 -1 1713332 1759842 -1 1174888 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' 'Clavulanate' -1 'Hydrocodone' -1 -2 
1.4786654459621288E-7,1401,1713332 -1 1759842 -1 1174888 -1  -2 ,'Amoxicillin' -1 'Clavulanate' -1 'Hydrocodone' -1 -2 
1.4786654459621288E-7,1395,1713332 -1 1713332 -1 1174888 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 'Hydrocodone' -1 -2 
1.4786654459621288E-7,1307,1713332 -1 1759842 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Clavulanate' -1 'Acetaminophen' -1 -2 
1.4759709669900483E-7,483,19049105 -1 1154343 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Albuterol' -1 'Potassium Chloride' -1 -2 
1.4745736205366873E-7,1388,1713332 -1 1154343 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Albuterol' -1 'Amoxicillin' -1 -2 
1.4739125772780097E-7,5423,956874 -1 1734104 -1 1125315 -1  -2 ,'Furosemide' -1 'Azithromycin' -1 'Acetaminophen' -1 -2 
1.4689090253983337E-7,4159,1125315 -1 1346823 -1 1174888 -1  -2 ,'Acetaminophen' -1 'carvedilol' -1 'Hydrocodone' -1 -2 
1.4689090253983337E-7,2623,1174888 -1 1346823 -1 1174888 -1  -2 ,'Hydrocodone' -1 'carvedilol' -1 'Hydrocodone' -1 -2 
1.4686961210339105E-7,2056,1174888 -1 904453 -1  -2 ,'Hydrocodone' -1 'Esomeprazole' -1 -2 
1.4663711842057218E-7,1321,1713332 -1 1125315 -1 1713332 1759842 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4663711842057218E-7,1308,1713332 -1 1125315 -1 1759842 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 'Clavulanate' -1 -2 
1.4655584632726683E-7,1193,1174888 -1 1716903 -1  -2 ,'Hydrocodone' -1 'moxifloxacin' -1 -2 
1.4647440666485547E-7,3071,1154343 -1 1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Albuterol' -1 'Acetaminophen' -1 -2 
1.4641304642276974E-7,1652,1545958 -1 1125315 1174888 -1 1125315 -1  -2 ,'atorvastatin' -1 'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.4641304642276974E-7,1646,1545958 -1 1174888 -1 1125315 -1  -2 ,'atorvastatin' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.4641304642276974E-7,1644,1545958 -1 1125315 -1 1125315 -1  -2 ,'atorvastatin' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4612668804714477E-7,540,19049105 -1 1551099 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Prednisone' -1 'Potassium Chloride' -1 -2 
1.4576793417051227E-7,2024,1115008 -1 1174888 -1  -2 ,'Naproxen' -1 'Hydrocodone' -1 -2 
1.456707852072935E-7,955,1742253 -1 1154343 -1 1174888 -1  -2 ,'Levofloxacin' -1 'Albuterol' -1 'Hydrocodone' -1 -2 
1.4552416404830776E-7,1032,1153664 -1 1734104 -1  -2 ,'Propoxyphene' -1 'Azithromycin' -1 -2 
1.452653940825371E-7,2038,1174888 -1 974166 -1  -2 ,'Hydrocodone' -1 'Hydrochlorothiazide' -1 -2 
1.4512964313222492E-7,4558,1125315 1174888 -1 1713332 1759842 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' 'Clavulanate' -1 'Acetaminophen' -1 -2 
1.4512964313222492E-7,4520,1125315 1174888 -1 1759842 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Clavulanate' -1 'Acetaminophen' -1 -2 
1.45050160338086E-7,2670,1174888 -1 1174888 -1 1797513 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Ciprofloxacin' -1 'Acetaminophen' -1 -2 
1.45050160338086E-7,2240,1174888 -1 1125315 -1 1797513 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Ciprofloxacin' -1 'Acetaminophen' -1 -2 
1.4486758621236763E-7,2903,1174888 -1 1713332 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Amoxicillin' -1 'Potassium Chloride' -1 -2 
1.447571090613578E-7,338,19049105 -1 956874 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 'Potassium Chloride' -1 -2 
1.4466493876492175E-7,389,19049105 -1 1734104 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Azithromycin' -1 'Acetaminophen' -1 -2 
1.44081230465943E-7,1003,1545958 -1 1734104 -1  -2 ,'atorvastatin' -1 'Azithromycin' -1 -2 
1.4373089654442103E-7,4521,1125315 1174888 -1 1742253 -1 1742253 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Levofloxacin' -1 'Levofloxacin' -1 -2 
1.4351188089469553E-7,5653,956874 -1 19049105 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
1.4349032613471581E-7,4852,1125315 1174888 -1 1125315 1174888 -1 1551099 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Prednisone' -1 -2 
1.4349032613471581E-7,4570,1125315 1174888 -1 1174888 -1 1551099 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 'Prednisone' -1 -2 
1.4349032613471581E-7,3639,1125315 -1 1125315 1174888 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Prednisone' -1 -2 
1.4349032613471581E-7,2277,1174888 -1 1125315 1174888 -1 1551099 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Prednisone' -1 -2 
1.429609880114518E-7,499,19049105 -1 19049105 -1 1174888 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 'Hydrocodone' -1 -2 
1.428974092254206E-7,3525,1125315 -1 1125315 -1 1518254 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Dexamethasone' -1 -2 
1.4275688381350382E-7,3473,1125315 -1 1124957 -1 1713332 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 'Amoxicillin' -1 -2 
1.4275683642393605E-7,77,1316262 -1  -2 ,'sildenafil' -1 -2 
1.4242656241389136E-7,4930,1125315 1174888 -1 1125315 -1 1713332 1759842 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4242656241389136E-7,4710,1125315 1174888 -1 1174888 -1 1713332 1759842 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4242656241389136E-7,4519,1125315 1174888 -1 1125315 -1 1759842 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Clavulanate' -1 -2 
1.4242656241389136E-7,4517,1125315 1174888 -1 1174888 -1 1759842 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 'Clavulanate' -1 -2 
1.4242656241389136E-7,3889,1125315 -1 1125315 1174888 -1 1713332 1759842 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4242656241389136E-7,3591,1125315 -1 1125315 1174888 -1 1759842 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Clavulanate' -1 -2 
1.4242656241389136E-7,2470,1174888 -1 1125315 1174888 -1 1713332 1759842 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4242656241389136E-7,2248,1174888 -1 1125315 1174888 -1 1759842 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Clavulanate' -1 -2 
1.4239276194898406E-7,2961,1174888 -1 19049105 -1 1742253 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 'Levofloxacin' -1 -2 
